addr1,addr2,city,state,zip,matchbackid,tsmart_latitude,tsmart_longitude,tsmart_geolevel,tsmart_censusid
1651 CR 305 Jarrell,,Jarrell,TX,,226,30.83745,-97.620769,Street,4.8491E+14
300 Crystal Falls Parkway Leander,,Leander,TX,,227,30.55678,-97.84769,Zip9,4.8491E+14
3301 S Bagdad Rd Leander,,Leander,TX,,228,30.53651,-97.84772,Zip9,4.8491E+14
1011 S Bagdad Rd Leander,,Leander,TX,,229,30.56048,-97.86175,Zip9,4.8491E+14
201 N Brushy St Leander,,Leander,TX,,230,30.55005,-97.87394,Zip5,4.8491E+14
1501 CR 271 Leander,,Leander,TX,,231,30.58344,-97.83496,Zip9,4.8491E+14
16500 W SH 29 Liberty Hill,,Liberty Hill,TX,,232,30.680999,-97.955531,Street,4.8491E+14
"301 W Bagdad Ave, Bldg 2 ROUND ROCK",,Round Rock,TX,,233,30.506898,-97.680528,Street,4.8491E+14
1009 N Georgetown Ave Round Rock,,Round Rock,TX,,234,30.517496,-97.670713,Street,4.8491E+14
16318 Great Oaks Dr Round Rock,,Round Rock,TX,,235,30.49515,-97.73544,Zip9,4.8491E+14
2801 Gattis School Rd Round Rock,,Round Rock,TX,,236,30.49638,-97.63843,Zip9,4.8491E+14
3400 E PALM VALLEY BLVD Round Rock,,Round Rock,TX,,237,30.526557,-97.629085,Street,4.8491E+14
7320 Wyoming Springs Dr ROUND ROCK,,Round Rock,TX,,238,30.51875,-97.71951,Zip9,4.8491E+14
3505 Forest Creek Dr ROUND ROCK,,Round Rock,TX,,239,30.508816,-97.610394,Street,4.8491E+14
1801 E Old Settlers Blvd Round Rock,,Round Rock,TX,,240,30.540706,-97.659136,Street,4.8491E+14
300 N Lake Creek Dr Round Rock,,Round Rock,TX,,241,30.509179,-97.694886,Street,4.8491E+14
4010 Sam Bass Rd Round Rock,,Round Rock,TX,,242,30.53558,-97.7422,Zip9,4.8491E+14
2051 Gattis School Road Round Rock,,Round Rock,TX,,243,30.49611,-97.65505,Zip9,4.8491E+14
2400 Chisholm Trail Round Rock,,Round Rock,TX,,244,30.53957,-97.69498,Zip9,4.8491E+14
4211 Teravista Club Dr Round Rock,,Round Rock,TX,,247,30.57157,-97.67164,Zip9,4.8491E+14
3379 Gattis School Rd Round Rock,,Round Rock,TX,,248,30.4965,-97.62969,Zip9,4.8491E+14
